C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.08CEST16:43:04

Distance.distance <   16 & Distance.unit = 'pc' & maintype != 'cor' & nbref   > 10
----------------------------------------------------------------------------------

Number of objects : 1568

 #  |            identifier             |typ|      coord1 (Gal,J2000/2000)      |#bib|#dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------|---|-----------------------------------|----|-----|----------------|-----------------------|--------|-------------------
1   |GJ 820 B                           |Er*|082.3171310715589 -05.8262372280102| 696|    1|    3.4964  pc  |  -0.0003     +0.0003  |paral   |2020yCat.1350....0G
2   |GJ 820 A                           |BY*|082.3197403091576 -05.8181041502094| 997|    1|    3.4965  pc  |  -0.0007     +0.0007  |paral   |2020yCat.1350....0G
3   |GAT 1383                           |PM*|085.6450087237446 -07.3769487234860|  15|    1|   14.5094  pc  |  -0.0046     +0.0046  |paral   |2020yCat.1350....0G
4   |GJ 873                             |Er*|100.6067176270883 -13.0693645782006| 851|    1|    5.0515  pc  |  -0.0005     +0.0005  |paral   |2020yCat.1350....0G
5   |G 216-43                           |PM*|107.6831520259098 -14.9929080409418|  13|    1|   35.6304  pc  |  -0.6394     +0.6394  |paral   |2020yCat.1350....0G
6   |GJ 4 B                             |PM*|114.6501340218375 -16.3243260935338| 111|    1|   11.518   pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
7   |GJ 4 A                             |SB*|114.6505214717521 -16.3226459980874| 120|    1|   11.5207  pc  |  -0.0032     +0.0032  |paral   |2020yCat.1350....0G
8   |GJ 2                               |PM*|114.5559641502924 -16.3315501979801| 151|    1|   11.5035  pc  |  -0.0022     +0.0022  |paral   |2020yCat.1350....0G
9   |G 172-30                           |PM*|123.9711775130517 -17.7743808266139|  38|    1|   13.1389  pc  |  -0.0043     +0.0043  |paral   |2020yCat.1350....0G
10  |GJ 67                              |SB*|132.7153946631206 -19.2998883860968| 483|    1|   14.7006  pc  |  -0.0803     +0.0803  |paral   |2020yCat.1350....0G
11  |GJ 815                             |SB*|082.4380288637556 -03.9579690545388| 173|    1|   15.0255  pc  |  -0.0163     +0.0163  |paral   |2020yCat.1350....0G
12  |GJ 1004                            |WD*|116.5687359077952 -11.9644708133638|  86|    1|   10.8737  pc  |  -0.0021     +0.0021  |paral   |2020yCat.1350....0G
13  |LP 191-43                          |PM*|115.8438152153511 -12.9700483599527|  11|    1|   14.7576  pc  |  -0.0078     +0.0078  |paral   |2020yCat.1350....0G
14  |GJ 3036                            |** |119.2567938209873 -12.3349724385336|  43|    1|   13.4758  pc  |  -0.1741     +0.1741  |paral   |2018yCat.1345....0G
15  |GJ 134                             |PM*|152.1598511695466 -16.1563738271803|  94|    1|   15.9638  pc  |  -0.0061     +0.0061  |paral   |2020yCat.1350....0G
